text,Target
what is the projected time frame for the flight to land,42
is there any news on flight dl123,42
what is the word on flight dl123,42
when will we begin to board my scheduled flight,42
whats the status of my frontier flight,42
when will my flight take off,42
what is the arrival time for my flight,42
whats the status of my delta flight,42
whats the update on flight dl123,42
is there an update on flight dl123,42
when will my flight land,42
at what point should the flight land,42
what time is my flight scheduled to leave,42
when is my flight supposed to leave,42
whats the status of my south west flight,42
when should the flight land,42
whats the latest on flight dl123,42
whats the status of my united flight,42
whats the status of my singapore flight,42
give me the status of flight dl123,42
tell me that status of flight dl123,42
is flight dl123 coming in on time,42
is flight dl123 on time,42
what's the latest with my united flight,42
update me on my delta flight please,42
tell me what the status of my american airlines flight is,42
look up when my flight is set to start boarding,42
at what time will my flight land,42
i need to know the status of my alaska air flight,42
at what time will my flight begin boarding,42
what time is my flight supposed to board,42
tell me what time my flight ought to be landing,42
tell me when my flight is scheduled to start boarding,42
when is my plane scheduled to land,42
when does boarding for my flight begin,42
whats the most recent status for my virgin air flight,42
can you check when my flight lands,42
what time is my flight supposed to be landing,42
can you tell me the status of my delta flight,42
whats my delta flight's status,42
is my delta flight on time,42
when will my delta flight depart,42
will my delta flight leave on time,42
what is the eta of my flight,42
when is my flight due to arrive,42
what landing time is scheduled for my flight,42
what time is my plane supposed to arrive,42
what is the scheduled arrival time for my flight,42
please tell me the status of my southwest flight,42
i would appreciate it if you could tell me the status of my southwest flight,42
what is the status of my frontier flight,42
could you tell me the status of my frontier flight,42
do you mind informing me the status of my southwest flight,42
when will my aa flight be landing,42
when's my flight boarding,42
what's the latest info on flight dl123,42
when will my panam flight be arriving,42
when will my jetblue flight get here,42
when will they let me board,42
can you update me with the status of flight dl123,42
what's the status of my united flight,42
can you tell me where flight dl123 is,42
at what point will this flight start letting people board,42
how long until delta is at the gate,42
when should i expect my flight to come in,42
when can i start boarding my flight,42
when's my flight getting here,42
how long until my flight is here,42
has flight dl123 arrived yet,42
what time will i be allowed to board,42
any idea where flight dl123 is right now,42
what's my flight's eta,42
what time does my flight get in,42
when does my flight arrive,42
let me know the status of flight dl123,42
tell me the status of flight dl123,42
i would love to know when my flight is going to land,42
i wanna know the status of flight dl123,42
tell me when my flight will land,42
i gotta know when my flight will land,42
please inform me when my flight scheduled to board,42
i would like to know when my flight scheduled to board,42
i need to know when my flight scheduled to board,42
tell me when my flight scheduled to board,42
please tell me when my flight will land,42
i wanna know when my flight scheduled to board,42
i need to know the status of flight dl123,42
i wish to know when my flight will land,42
what is the scheduled landing time for my flight,42
what time will my flight be boarding,42
what time is this flight supposed to land,42
what time will i be able to board the plane,42
when will i get to my destination,42
can you tell me what time this flight is going to land,42
please tell me what the boarding time is for my plane,42
what time will my flight reach the destination,42
can you tell me when my flight is going to board,42
tell me when my flight is landing,42
i need to know when my flight is landing,42
so when is my flight landing,42
what do you put in chicken noodle casserole,56
what goes into chicken noodle casserole,56
what do i need to make chicken noodle casserole,56
how do you make chicken noodle casserole,56
chicken noodle casserole is made from what,56
tell me what ingredients i will need to make this meal,56
what are the ingredients of spaghetti,56
what ingredients are present in marshmallows,56
tell me the ingredients in pizza,56
what ingredients are found in hunan chicken,56
i need to know the ingredients in a hamburger,56
show me the ingredients that i need for ceviche,56
do you have a list of ingredients that i'll need for blondies,56
give me a list of ingredients needed for pizza dough,56
tell me what ingredients i need for carne asada,56
what ingredients are required for chicken noodle soup,56
what ingredients are in salsa,56
what ingredients are in cheese cake,56
what ingredients are in sugar cookies,56
what ingredients are in spinach dip,56
what ingredients are in coffee cakes,56
what ingredients do i need to make egg salad,56
what would i need if i wanted to make chicken marsala,56
what ingredients are in antipasto salad,56
what do i need to make chicken salad,56
what kind of stuff is in potato salad,56
ingredients needed to make a mexican lasagna,56
what are all of the ingredients for brownies from scratch,56
how can i make my own doughnuts/what ingredients,56
what stuff would i need to make tortellini,56
what do i need to make a cake,56
what all is in gumbo,56
what ingredients do i need for gumbo,56
which ingredients does gumbo have,56
what are the ingredients in gumbo,56
what is gumbo made of,56
what ingredients do i need to bake a cake,56
i want to cook a quick breakfast what ingredients do i need,56
what ingredients are needed for shrimp cocktail,56
i’m making spaghetti what ingredients do i need,56
i want to make a meat stew what ingredients do i need,56
what goes in broccoli cheddar soup,56
show me the recipe for broccoli cheddar soup,56
please list ingredients for broccoli cheddar soup,56
what ingredients do i need to make broccoli cheddar soup,56
"i am making broccoli cheddar soup, what ingredients do i need",56
what ingredients do i need for philly cheesesteaks,56
what do i need to cook chicken soup,56
what do i need to get to make lasagne,56
what should i buy to make burritos tonight,56
what ingredients do i need for tacos,56
what are the ingredients to make shepherd's pie,56
what do i need to buy to make a spaghetti,56
what do i need to make spaghetti,56
what is the ingredient list for an omelette,56
what do i need if i want to make lasagna,56
what do i need to make a cajun chili,56
what goes into a strawberry smoothie,56
what should i grab to make a german chocolate cake,56
what do you put in chili,56
what do you need to make pancakes,56
what stuff do you dump in an omelette,56
what do you use when you make a chef's salad,56
what do you purchase to put in a shepherd's pie,56
what do you put in a tibetan omelette,56
what do you mix to make a chocolate cake,56
what does subway use to make a cold cut combo,56
what do you need to make general tsao's chicken,56
what do you put in avocado dip,56
what ingredients are in sushi,56
what does it take to make buttermilk pancakes,56
what do i need to buy to make pierogi,56
what do i need to get to put into homemade tortillas,56
what food items do you put in english breakfast,56
what foods do i buy to put into a korean dinner,56
what do you need to make dandelion wine properly,56
what ingredients are in cake,56
what ingredients are in tortillas,56
what ingredients are in mashed potatoes,56
what ingredients are in dough,56
what ingredients are in chips,56
the ingredients in pizza are what,56
list the ingredients in pizza,56
which ingredients are in pizza,56
pizza has which ingredients,56
the ingredients in pizza are which ones,56
what ingredients do i need to make salmon salad,56
what ingredients go in spaghetti,56
what ingredients do i need to make pizza,56
what ingredients do i need to make pancakes,56
what ingredients do i need to make potato skins,56
what ingredients go in mashed potato,56
what ingredients go in potato skins,56
what ingredients do i need to make spaghetti,56
what ingredients go in a milky way,56
what ingredients go in pizza,56
what ingredients are necessary for a steak,56
"in making an omelette, what ingredients do i need",56
"in terms of making scrambled eggs, what ingredients do i need",56
what ingredients do i need for chicken breast,56
may i know if you are a real person or an ai,5
i need to know if you are a real person or an ai,5
i want to know if you are a real person or an ai,5
tell me if you are a real person or an ai,5
are your real or artificial,5
am i talking to a real person,5
am i speaking with someone real,5
would you consider yourself to be a bot,5
"i am not a bot, are you",5
do you think you are a bot,5
you sound like a bot,5
how do i know that you're a person,5
prove that you're a person,5
are you a bot or a person,5
are you real or fake,5
"are you ai, or a person",5
are you a human or a bot,5
am i talking with real person or ai,5
are you real or an ai,5
are you a bot right now,5
are you a real human,5
are you a real person or an ai,5
so are you a real person,5
so are you human,5
so are you a bot,5
tell me now if you are a bot,5
i need to know if you are a bot,5
are you an ai or a real person,5
are you actually a bot,5
so are you real,5
are you a human,5
am i talking with a real person,5
are you a computer or a real person,5
"are you a computer, or are you a real person",5
are you a live person or a computer,5
are you real or automated,5
is this a person talking to me or a computer,5
are you a human being or a robot,5
are you alive,5
are you a live human being,5
are you a computer,5
are you human or a bot,5
are you a real person or a computer,5
are you an automated assistance,5
are you a person,5
are you an actual person,5
are you really a human,5
are you a real human being,5
do you know if you are a robot,5
are you really an actual human being,5
what are you,5
do you know you are not human,5
is there anything real about you,5
how real are you,5
are you a real life person,5
tell me if you are human,5
are you ai,5
"am i speaking with ai or a real, live person",5
are you a member or the human race or are you a computer program,5
are you a person in real life or programmed ai,5
do you know whether you are a human or whether you're a computer,5
should i regard you as a human or as a computer,5
would you say that you are human or copmuter,5
"how are you classified, as a human or a computer",5
can you tell me if you're human or if you're a computer,5
i think you are a bot,5
are you considered a bot,5
am i talking to an actual person,5
do you consider yourself a bot,5
