text,intent,tokenized_text,cleaned_text,cleaned_tokenized_text,Target
what expression would i use to say i love you if i were an italian,translate,"['what', 'expression', 'would', 'i', 'use', 'to', 'say', 'i', 'love', 'you', 'if', 'i', 'were', 'an', 'italian']",what expression would i use to say i love you if i were an italian,"['expression', 'would', 'use', 'say', 'love', 'italian']",131
"can you tell me how to say 'i do not speak much spanish', in spanish",translate,"['can', 'you', 'tell', 'me', 'how', 'to', 'say', ""'"", 'i', 'do', 'not', 'speak', 'much', 'spanish', ""'"", ',', 'in', 'spanish']",can you tell me how to say i do not speak much spanish in spanish,"['tell', 'say', 'speak', 'much', 'spanish', 'spanish']",131
"what is the equivalent of, 'life is good' in french",translate,"['what', 'is', 'the', 'equivalent', 'of', ',', ""'life"", 'is', 'good', ""'"", 'in', 'french']",what is the equivalent of life is good in french,"['equivalent', 'life', 'good', 'french']",131
"tell me how to say, 'it is a beautiful morning' in italian",translate,"['tell', 'me', 'how', 'to', 'say', ',', ""'it"", 'is', 'a', 'beautiful', 'morning', ""'"", 'in', 'italian']",tell me how to say it is a beautiful morning in italian,"['tell', 'say', 'beautiful', 'morning', 'italian']",131
"if i were mongolian, how would i say that i am a tourist",translate,"['if', 'i', 'were', 'mongolian', ',', 'how', 'would', 'i', 'say', 'that', 'i', 'am', 'a', 'tourist']",if i were mongolian how would i say that i am a tourist,"['mongolian', 'would', 'say', 'tourist']",131
how do i say 'hotel' in finnish,translate,"['how', 'do', 'i', 'say', ""'hotel"", ""'"", 'in', 'finnish']",how do i say hotel in finnish,"['say', 'hotel', 'finnish']",131
"i need you to translate the sentence, 'we will be there soon' into portuguese",translate,"['i', 'need', 'you', 'to', 'translate', 'the', 'sentence', ',', ""'we"", 'will', 'be', 'there', 'soon', ""'"", 'into', 'portuguese']",i need you to translate the sentence we will be there soon into portuguese,"['need', 'translate', 'sentence', 'soon', 'portuguese']",131
please tell me how to ask for a taxi in french,translate,"['please', 'tell', 'me', 'how', 'to', 'ask', 'for', 'a', 'taxi', 'in', 'french']",please tell me how to ask for a taxi in french,"['please', 'tell', 'ask', 'taxi', 'french']",131
"can you tell me how i would say, 'more bread please' in french",translate,"['can', 'you', 'tell', 'me', 'how', 'i', 'would', 'say', ',', ""'more"", 'bread', 'please', ""'"", 'in', 'french']",can you tell me how i would say more bread please in french,"['tell', 'would', 'say', 'bread', 'please', 'french']",131
what is the correct way to say 'i am a visitor' in french,translate,"['what', 'is', 'the', 'correct', 'way', 'to', 'say', ""'"", 'i', 'am', 'a', 'visitor', ""'"", 'in', 'french']",what is the correct way to say i am a visitor in french,"['correct', 'way', 'say', 'visitor', 'french']",131
